# k[hMpc-1] 2.5perc 16perc 50perc 84perc 97.5perc
1.116765950454112311e+00 9.115460563059886168e-01 9.144953151875925279e-01 9.192378931519197272e-01 9.236432951310528106e-01 9.286699020714482833e-01
1.152191925616986801e+00 9.094852555483717849e-01 9.125489665207199286e-01 9.174223041347953078e-01 9.219380761866318164e-01 9.270827941261312599e-01
1.188741681206486600e+00 9.073756021993613086e-01 9.105652685395855261e-01 9.155766029436482878e-01 9.201938705974720412e-01 9.254764364207221927e-01
1.226450865710519533e+00 9.052454165958381260e-01 9.085586559709056820e-01 9.137182459075743335e-01 9.184387799332004443e-01 9.238619882340868283e-01
1.265356258455956340e+00 9.031152309923148325e-01 9.065155388869472475e-01 9.118598888715001571e-01 9.167476806245863363e-01 9.222475400474514640e-01
1.305495805481025062e+00 9.009850453887917610e-01 9.045093824712500119e-01 9.100015318354260918e-01 9.150620187868026001e-01 9.206330918608162106e-01
1.346908656545657834e+00 8.988063053762577193e-01 9.024964012082925535e-01 9.081139817950204529e-01 9.133612925645017144e-01 9.190007704991282056e-01
1.389635203315861434e+00 8.966005906783449664e-01 9.003962163374389371e-01 9.062102134106344575e-01 9.116197483991892447e-01 9.173585195906989176e-01
1.433717118759384457e+00 8.943948759804323245e-01 8.983672560938495977e-01 9.043064450262483511e-01 9.098564947721047291e-01 9.157162686822697406e-01
1.479197397791088608e+00 8.921891612825195716e-01 8.963290613690955144e-01 9.024026766418622447e-01 9.080869700861717853e-01 9.140740177738404526e-01
1.526120399207660405e+00 8.899390644964537689e-01 8.942366161423970228e-01 9.004743915422153133e-01 9.063003319454312479e-01 9.124188715094543323e-01
1.574531888952583447e+00 8.876570437295625560e-01 8.921209516351610302e-01 8.985284715997643445e-01 9.045013841179259106e-01 9.107544496315622684e-01
1.624479084753553515e+00 8.853807497069207111e-01 8.900052871279248157e-01 8.965825516573134868e-01 9.027024362904206845e-01 9.090900277536700935e-01
1.676010702175887213e+00 8.831290399177553763e-01 8.878896226206888231e-01 8.946366317148626290e-01 9.009034884629154583e-01 9.074256058757779186e-01
1.729177002136817576e+00 8.808473936301934870e-01 8.857523510118398002e-01 8.926765898301189939e-01 8.990978067165044108e-01 9.057582776579519157e-01
1.784029839927048444e+00 8.785381587795694225e-01 8.835951669577365442e-01 8.907035335944539778e-01 8.972992614044342785e-01 9.041118749369110308e-01
1.840622715787370911e+00 8.762289239289453580e-01 8.814292818517600603e-01 8.887304773587888507e-01 8.955166870642048416e-01 9.025035434245916033e-01
1.899010827089648190e+00 8.739196890783210714e-01 8.792457587379435280e-01 8.867569002341868512e-01 8.937341127239754046e-01 9.008952119122722868e-01
1.959251122173100157e+00 8.715985310728505686e-01 8.770540097184326145e-01 8.847807696800891186e-01 8.919632685502415503e-01 8.993060344004020212e-01
2.021402355888380242e+00 8.692633302244267002e-01 8.748525723988614944e-01 8.828076084842936266e-01 8.901400072052311208e-01 8.977494936523179314e-01
2.085525146903597804e+00 8.669281293760028317e-01 8.726606087742317941e-01 8.808344472884981347e-01 8.883018962303582677e-01 8.961960092746675821e-01
2.151682036828220568e+00 8.645929285275788523e-01 8.704843836726966488e-01 8.788612860927025316e-01 8.864887150421381090e-01 8.946425248970174549e-01
2.219937551212487037e+00 8.622670621689717541e-01 8.683247150505997158e-01 8.769105739262865740e-01 8.847554353066162669e-01 8.931261983038479846e-01
2.290358262481853480e+00 8.599553172381660948e-01 8.661900934459215717e-01 8.749984568310902322e-01 8.830670589570810414e-01 8.916649588996162779e-01
2.363012854867819090e+00 8.576435723073603246e-01 8.640554718412433166e-01 8.730928134153821407e-01 8.813810768275666119e-01 8.902031332898686644e-01
2.437972191398504407e+00 8.553318273765547763e-01 8.619208502365651725e-01 8.711871699996743823e-01 8.797641233287245566e-01 8.887413076801211620e-01
2.515309383014299183e+00 8.530319994477675305e-01 8.597880790112555349e-01 8.692908026584127423e-01 8.781999768281044672e-01 8.873388849673274903e-01
2.595099859875971582e+00 8.507283838417102340e-01 8.576859502834572879e-01 8.675309936089663498e-01 8.767551456612890926e-01 8.860534681690309666e-01
2.677421444934832806e+00 8.484247682356528264e-01 8.555838215556591519e-01 8.657916759281109043e-01 8.752460803539295897e-01 8.847680513707342209e-01
2.762354429836673564e+00 8.461211526295955299e-01 8.534816928278610160e-01 8.640505947628061012e-01 8.737206293461996509e-01 8.834826345724376973e-01
2.849981653233537138e+00 8.438793753204910653e-01 8.514469043797331382e-01 8.623633836867738989e-01 8.722835547663441158e-01 8.822844094890285316e-01
2.940388581579667093e+00 8.418002101991396424e-01 8.495891963290398419e-01 8.608874834887698668e-01 8.710720436398420308e-01 8.813154668440179584e-01
3.033663392490479449e+00 8.397210450777883306e-01 8.477304671900030009e-01 8.594115832907658348e-01 8.698461379670542337e-01 8.803465241990073853e-01
3.129897060745848059e+00 8.376418799564369078e-01 8.458638038907603240e-01 8.580080110322578779e-01 8.685935568993861100e-01 8.793775815539968121e-01
3.229183447021551245e+00 8.356545116481139956e-01 8.440921478530301059e-01 8.567398783497839343e-01 8.674461918001504790e-01 8.785149590665833896e-01
3.331619389435480638e+00 8.340037326741743806e-01 8.426688528297954228e-01 8.556902540733710705e-01 8.666986149364243053e-01 8.780421783383389744e-01
3.437304797997855932e+00 8.323529537002347656e-01 8.412743600408476574e-01 8.545999696324024786e-01 8.660193374427205271e-01 8.775693976100947813e-01
3.546342752057602965e+00 8.307021747262950395e-01 8.400588661285118830e-01 8.536172250277407336e-01 8.653552050126185335e-01 8.770966168818503661e-01
3.658839600839884021e+00 8.291498799265033526e-01 8.388682742105438850e-01 8.527413850442546739e-01 8.648003564157911160e-01 8.767269742360845886e-01
3.774905067172904527e+00 8.281425332713923115e-01 8.380986235761914704e-01 8.524570865492522298e-01 8.648502143385824459e-01 8.769280314736136450e-01
3.894652354505135250e+00 8.271351866162811595e-01 8.372634998161313513e-01 8.521727880542498967e-01 8.649000722613738867e-01 8.771290887111428125e-01
